EntityId,Symbol,Name,PriceSourceUser,Repno,IssueId,Date1,Date2,LogChange1,LogChange2,Close1,Close2,SplitFactor1,SplitFactor2,Multiplier,VolumeSpike
1092118,AATG.L,Albion Technology & General Vct Plc,YahooAndEODData,,,3/26/2012,7/12/2012,-4.46481276,4.93291,0.84,4812.50049,1,1,108.33333333333333,0
308743,ACAD,ACADIA Pharmaceuticals Inc.,ReutersAndEODData,A284F,1,6/16/2008,10/13/2008,-0.564041853,0.475781918,4.83,2.43,1,1,1.6666666666666667,-0.1
1101264,ACC.L,Access Intelligence Plc,YahooAndEODData,,,7/26/2007,12/14/2007,-0.367724776,0.45953232,4.5,2.375,1,1,1.5,0
294987,AIGI,Axia International Group Inc,ReutersAndEODData,14795,1,6/6/1996,6/13/1996,0.4054651,-0.451984584,3.46875,2.625,1.32616507E-15,1.32616507E-15,1.5416666666666667,-18.2
294987,AIGI,Axia International Group Inc,ReutersAndEODData,14795,1,6/13/1996,6/21/1996,-0.451984584,0.459532142,2.625,2.375,1.32616507E-15,1.32616507E-15,1.5833333333333333,-20.5
1101285,AKR.L,Akers Biosciences Inc.,YahooAndEODData,,,11/22/2013,12/23/2013,5.02752352,-4.55547047,522.5,4.125,1,1,120.83333333333333,-3.7
306249,ALLR,Allaire Corporation,ReutersAndEODData,A1D8F,1,4/12/2000,4/18/2000,-0.399827,0.450866669,31.5,47.875,1,1,1.5416666666666667,0.4
319641,AMPI3,Ampla Investimentos e Servicos SA,ReutersAndEODData,AFC59,1,1/16/2007,2/16/2007,0.8109302,-0.8311329,90,39.2,1,1,2.291666666666667,0
319641,AMPI3,Ampla Investimentos e Servicos SA,ReutersAndEODData,AFC59,1,2/16/2007,3/2/2007,-0.8311329,0.8311329,39.2,90,1,1,2.291666666666667,0.2
319641,AMPI3,Ampla Investimentos e Servicos SA,ReutersAndEODData,AFC59,1,1/15/2007,4/3/2007,0.693647,-0.58778584,40,50,1,1,1.9166666666666667,-0.7
319641,AMPI3,Ampla Investimentos e Servicos SA,ReutersAndEODData,AFC59,1,2/16/2007,7/16/2007,-0.8311329,0.7996446,39.2,88.99,1,1,2.25,0.2
319641,AMPI3,Ampla Investimentos e Servicos SA,ReutersAndEODData,AFC59,1,7/16/2007,8/1/2007,0.7996446,-0.7996439,88.99,40,1,1,2.2083333333333335,0.1
1092251,AS15.L,ALLIED DOMECQ FINANCIAL SERVICES 6.625% NTS 12/6/1,EODData,,,7/12/2012,7/24/2012,5.097646,-5.080274,2691.81763,40.3429,1,1,162.5,0
299125,ATNP,Atlantis Technology Group,ReutersAndEODData,94805,1,10/10/2007,10/16/2007,0.8171999,-0.9444613,6,0.07,275000.063,149.999939,2.4166666666666665,0.3
311296,BBO,bbo Financial Services Inc.,ReutersAndEODData,A5F16,1,8/12/1998,12/9/1998,-0.358212143,0.4403118,325,365,1.13399971,1.13399971,1.5,-1.2
311296,BBO,bbo Financial Services Inc.,ReutersAndEODData,A5F16,1,12/9/1998,2/12/1999,0.4403118,-0.4855078,365,160,1.13399971,1.13399971,1.5833333333333333,-0.3
311296,BBO,bbo Financial Services Inc.,ReutersAndEODData,A5F16,1,2/12/1999,3/11/1999,-0.4855078,0.4054651,160,240,1.13399971,1.13399971,1.5416666666666667,-1.6
311367,BHS,Brookfield Homes Corporation,ReutersAndEODData,A651E,1,11/19/2008,11/24/2008,-0.457488716,0.434636772,5.93,4,1,1,1.5416666666666667,0
1099162,BIOM.L,Biome Technologies plc,YahooAndEODData,A4018,1,8/6/2013,8/13/2013,4.57080269,-4.477337,71.5,0.75,1,1,91.666666666666671,-3.4
318244,BKEP,Blueknight Energy Partners L.P.,ReutersAndEODData,AE8F1,1,7/17/2008,11/28/2008,-0.728865564,0.8612308,11,2.65,1,1,2.2083333333333335,0
318244,BKEP,Blueknight Energy Partners L.P.,ReutersAndEODData,AE8F1,1,2/19/2009,2/20/2009,-0.350860447,0.403853863,2.07,3.1,1,1,1.4583333333333333,-0.3
311433,BNBR3,Banco do Nordeste do Brasil S.A.,ReutersAndEODData,A67D3,1,2/7/2008,2/15/2008,-0.570350945,0.558975,2.25,3.9,0.09749998,0.09749998,1.75,-0.6
311433,BNBR3,Banco do Nordeste do Brasil S.A.,ReutersAndEODData,A67D3,1,2/15/2008,2/18/2008,0.558975,-0.5151081,3.9,2.33,0.09749998,0.09749998,1.7083333333333333,-0.7
311433,BNBR3,Banco do Nordeste do Brasil S.A.,ReutersAndEODData,A67D3,1,1/4/2008,3/14/2008,-0.341749758,0.4193108,2.7,4,0.09749998,0.09749998,1.4583333333333333,-2.6
311433,BNBR3,Banco do Nordeste do Brasil S.A.,ReutersAndEODData,A67D3,1,3/17/2008,3/20/2008,-0.490206331,0.5246191,2.45,3.65,0.09749998,0.09749998,1.6666666666666667,-8.7
311433,BNBR3,Banco do Nordeste do Brasil S.A.,ReutersAndEODData,A67D3,1,3/14/2008,3/31/2008,0.4193108,-0.410959184,4,2.42,0.09749998,0.09749998,1.5,-9.1
